"x","y","objectid","stop_name","stop_lat","stop_lon","town","stop_code"
-8583181.803,4731683.3641,73,"ASPEN HILL RD & ADRIAN ST",39.06986,-77.104034,"Aspen Hill","20152"
-8582966.9564,4731834.0608,74,"ASPEN HILL RD & MARGOT DR",39.070911,-77.102104,"Aspen Hill","20154"
-8582569.6571,4731894.4262,75,"ASPEN HILL RD & ARCTIC AVE",39.071332,-77.098535,"Aspen Hill","20156"
-8582172.3578,4732261.5012,76,"ASPEN HILL RD & EADES ST",39.073892,-77.094966,"Aspen Hill","20158"
-8582002.1503,4732490.4997,77,"ASPEN HILL RD & IRIS PL",39.075489,-77.093437,"Aspen Hill","20160"
-8581769.0473,4732809.9878,78,"ASPEN HILL RD & JUSTICE RD",39.077717,-77.091343,"Aspen Hill","20162"
-8581583.0325,4732991.9628,79,"ASPEN HILL RD & MARIANNA DR",39.078986,-77.089672,"Aspen Hill","20164"
-8581353.8256,4733007.3068,80,"ASPEN HILL RD & PARKLAND DR",39.079093,-77.087613,"Aspen Hill","20166"
-8580968.2149,4733050.1841,81,"ASPEN HILL RD & GENOBLE DR",39.079392,-77.084149,"Aspen Hill","20168"
-8580771.5134,4733138.2336,82,"ASPEN HILL RD & CONNECTICUT AVE",39.080006,-77.082382,"Aspen Hill","20170"
-8580700.0463,4733173.3675,83,"ASPEN HILL RD & CONNECTICUT AVE",39.080251,-77.08174,"Aspen Hill","20172"
-8580906.3213,4733099.0844,84,"ASPEN HILL RD & FRANKFORT DR",39.079733,-77.083593,"Aspen Hill","20174"
-8581343.5842,4733024.0848,85,"ASPEN HILL RD & PARKLAND DR",39.07921,-77.087521,"Aspen Hill","20176"
-8581704.0367,4732924.8511,86,"ASPEN HILL RD & KEMPER ST",39.078518,-77.090759,"Aspen Hill","20178"
-8582022.5218,4732503.692,87,"ASPEN HILL RD & IRIS PL",39.075581,-77.09362,"Aspen Hill","20180"
-8582187.386,4732266.0898,88,"ASPEN HILL RD & EADES ST",39.073924,-77.095101,"Aspen Hill","20182"
-8582577.2268,4731911.3458,89,"ASPEN HILL RD & ARCTIC AVE",39.07145,-77.098603,"Aspen Hill","20184"
-8582928.3285,4731861.8776,90,"ASPEN HILL RD & BALTIC AVE",39.071105,-77.101757,"Aspen Hill","20186"
-8583214.9762,4731677.6287,91,"ASPEN HILL RD & ADRIAN ST",39.06982,-77.104332,"Aspen Hill","20188"
-8569398.6689,4723137.1815,92,"AVENEL RD & STATESIDE DR",39.010231,-76.980218,"Silver Spring","20190"
-8569440.3024,4722800.0913,93,"AVENEL RD & HAMPSHIRE WEST CT",39.007878,-76.980592,"Silver Spring","20192"
-8591087.1566,4735391.2134,94,"AZALEA DR & @747",39.095715,-77.175049,"Rockville","20194"
-8591285.0827,4735997.9644,95,"CARNATION DR & WOODLEY DR",39.099945,-77.176827,"Rockville","20195"
-8591109.3092,4735365.2515,96,"AZALEA DR & @748",39.095534,-77.175248,"Rockville","20196"
-8587426.3039,4733615.9226,97,"BALTIMORE RD & GRANDIN AVE",39.083337,-77.142163,"Rockville","20198"
-8587120.0639,4733758.617,98,"BALTIMORE RD & HORNERS LA",39.084332,-77.139412,"Rockville","20200"
-8586975.4599,4733801.9277,99,"BALTIMORE RD & TAYLOR AVE",39.084634,-77.138113,"Rockville","20202"
-8586609.3301,4733768.3691,100,"BALTIMORE RD & DENHAM RD",39.0844,-77.134824,"Rockville","20204"
-8586424.5398,4733726.6361,101,"BALTIMORE RD & WOODBURN RD",39.084109,-77.133164,"Rockville","20206"
-8586141.343,4733683.0389,102,"BALTIMORE RD & EDMONSTON DR",39.083805,-77.13062,"Rockville","20208"
-8585837.4408,4733721.4733,103,"BALTIMORE RD & GLADSTONE DR",39.084073,-77.12789,"Rockville","20210"
-8584985.624,4733625.8179,104,"BALTIMORE RD & BROADWOOD DR",39.083406,-77.120238,"Rockville","20212"
-8584865.1763,4733725.7756,105,"BALTIMORE RD & COVE LN",39.084103,-77.119156,"Rockville","20214"
-8584832.0031,4733772.2412,106,"BALTIMORE RD & COVE LA",39.084427,-77.118858,"Rockville","20216"
-8584954.7885,4733667.8373,107,"BALTIMORE RD & BROADWOOD DR",39.083699,-77.119961,"Rockville","20218"
-8585788.2375,4733757.4697,108,"BALTIMORE RD & AVERY RD",39.084324,-77.127448,"Rockville","20220"
-8586145.5731,4733697.9537,109,"BALTIMORE RD & EDMONSTON DR",39.083909,-77.130658,"Rockville","20222"
-8586417.7493,4733736.1013,110,"BALTIMORE RD & WOODBURN RD",39.084175,-77.133103,"Rockville","20224"
-8586668.1068,4733789.5942,111,"BALTIMORE RD & FIRST ST",39.084548,-77.135352,"Rockville","20226"
-8586921.0247,4733805.2262,112,"BALTIMORE RD & TAYLOR AVE",39.084657,-77.137624,"Rockville","20228"
-8587110.8244,4733789.4508,113,"BALTIMORE RD & HORNERS LA",39.084547,-77.139329,"Rockville","20230"
-8587379.5497,4733663.8218,114,"BALTIMORE RD & GRANDIN AVE",39.083671,-77.141743,"Rockville","20232"
-8583070.7061,4720382.7682,115,"BATTERY LA & OLD GEORGETOWN RD",38.991002,-77.103036,"Bethesda","20234"
-8582966.0658,4720546.9034,116,"BATTERY LA & KEYSTONE AVE",38.992148,-77.102096,"Bethesda","20236"
-8582728.2874,4720579.2724,117,"BATTERY LA & @4998",38.992374,-77.09996,"Bethesda","20238"
-8582573.7759,4720599.0376,118,"BATTERY LA & @4890",38.992512,-77.098572,"Bethesda","20240"
-8582567.542,4720618.946,119,"BATTERY LA & @4890",38.992651,-77.098516,"Bethesda","20242"
-8582855.5256,4720583.2827,120,"BATTERY LA & @4977",38.992402,-77.101103,"Bethesda","20244"
-8583031.4104,4720485.3166,121,"BATTERY LA & KEYSTONE AVE",38.991718,-77.102683,"Bethesda","20246"
-8578627.0547,4719881.0697,122,"BEACH DR & WOODBINE ST",38.987499,-77.063118,"Chevy Chase","20248"
-8578671.8051,4720575.4053,123,"BEACH DR & EAST WEST HWY",38.992347,-77.06352,"Chevy Chase","20250"
-8578639.0772,4719869.6125,124,"BEACH DR & WOODBINE ST",38.987419,-77.063226,"Chevy Chase","20252"
-8594314.5313,4727609.0932,125,"BEDFORDSHIRE AVE & WILDEN LA",39.041439,-77.204041,"Potomac","20254"
